student_id,study_hours,attendance,previous_score,sleep_hours,assignments,practice_tests,final_score
S0436,4.0,78.0,83.2,5.9,2.0,2.0,64.5
S0437,4.1,89.8,43.3,7.0,8.0,1.0,44.3
S0438,3.1,71.3,81.6,6.9,7.0,5.0,75.8
S0439,3.9,87.7,68.1,6.0,5.0,8.0,64.3
S0440,6.1,86.1,65.1,6.7,6.0,1.0,66.5
S0441,4.8,66.5,47.4,8.4,4.0,2.0,43.6
S0442,5.9,89.7,75.0,6.1,7.0,4.0,70.6
S0443,5.9,86.4,34.2,5.5,7.0,1.0,41.6
S0444,7.8,79.2,77.1,8.0,6.0,5.0,72.7
S0445,4.5,68.9,47.1,7.5,4.0,2.0,55.8
S0446,2.2,67.7,68.7,6.3,5.0,1.0,53.9
S0447,7.3,71.5,66.3,5.3,6.0,2.0,62.5
S0448,4.5,84.5,84.4,6.2,6.0,8.0,80.7
S0449,7.4,66.5,65.5,6.9,4.0,8.0,75.0
S0450,6.0,83.3,58.3,8.3,7.0,4.0,65.3
S0451,4.9,63.1,60.9,5.9,4.0,3.0,42.7
S0452,5.9,75.6,85.8,6.9,6.0,7.0,87.6
S0453,9.1,79.3,75.5,7.7,3.0,1.0,69.0
S0454,9.4,100.0,62.6,4.4,6.0,5.0,67.2
S0455,5.3,61.5,64.7,8.1,9.0,6.0,60.0
S0456,5.5,95.7,67.4,5.7,9.0,6.0,55.9
S0457,7.4,79.8,73.4,7.4,8.0,1.0,68.4
S0458,3.5,82.9,43.4,7.3,8.0,6.0,47.8
S0459,5.9,79.4,78.5,8.2,2.0,5.0,69.3
S0460,5.1,83.3,69.8,7.6,5.0,7.0,77.6
S0461,5.8,76.2,98.0,4.4,7.0,1.0,91.0
S0462,3.5,95.4,52.6,6.1,9.0,5.0,54.4
S0463,2.0,72.5,66.6,7.2,7.0,7.0,60.8
S0464,1.1,91.6,93.2,6.8,9.0,2.0,76.0
S0465,3.0,70.3,84.7,7.5,4.0,6.0,76.9
S0466,4.3,77.3,58.3,7.9,3.0,0.0,46.5
S0467,4.6,65.1,71.1,7.7,2.0,6.0,59.3
S0468,9.1,83.5,68.0,6.8,7.0,5.0,77.9
S0469,7.4,95.3,71.9,5.0,7.0,1.0,64.9
S0470,3.3,77.1,58.2,6.5,4.0,0.0,45.2
S0471,5.9,75.6,66.7,7.5,9.0,6.0,61.9
S0472,4.4,64.6,45.6,5.8,8.0,2.0,45.7
S0473,4.6,75.2,69.9,7.7,5.0,4.0,73.0
S0474,5.6,58.9,74.3,8.0,4.0,0.0,65.3
S0475,6.4,67.0,64.8,7.1,8.0,8.0,75.7
S0476,4.5,80.7,45.4,4.0,8.0,4.0,39.2
S0477,7.3,93.8,81.8,5.6,3.0,8.0,78.9
S0478,2.9,100.0,73.1,9.1,6.0,1.0,58.8
S0479,5.2,71.0,57.8,6.4,6.0,1.0,49.9
S0480,10.0,95.2,64.1,4.8,6.0,5.0,72.8
S0481,5.6,80.9,47.0,8.4,3.0,5.0,48.7
S0482,8.1,76.2,53.6,7.0,10.0,7.0,58.4
S0483,5.4,83.2,60.5,8.2,5.0,8.0,56.8
S0484,6.4,78.7,85.2,7.3,5.0,7.0,73.9
S0485,5.1,79.3,59.0,7.5,2.0,1.0,52.1
S0486,4.9,73.1,77.0,7.4,9.0,2.0,81.6
S0487,3.6,61.2,60.5,7.8,4.0,8.0,62.5
S0488,6.1,59.5,71.5,9.5,10.0,4.0,64.5
S0489,3.5,85.8,66.0,8.1,6.0,7.0,71.6
S0490,6.5,74.7,80.2,5.3,9.0,5.0,81.2
S0491,7.4,70.8,60.5,7.5,3.0,0.0,46.3
S0492,5.9,78.1,46.0,8.3,3.0,4.0,45.0
S0493,4.6,87.5,48.7,8.3,9.0,7.0,63.0
S0494,6.1,80.2,60.6,6.5,9.0,5.0,66.4
S0495,4.6,70.1,50.5,8.3,6.0,1.0,40.7
S0496,7.1,92.7,73.7,8.0,2.0,1.0,69.6
S0497,1.5,97.0,61.5,9.8,10.0,7.0,55.5
S0498,4.5,83.9,98.0,6.2,5.0,8.0,85.9
S0499,1.2,89.7,43.7,6.4,10.0,6.0,51.0
S0500,2.2,92.9,70.9,6.7,9.0,0.0,61.2
S0501,7.9,91.6,52.2,6.5,9.0,5.0,59.4
S0502,7.0,85.4,61.1,6.0,8.0,7.0,70.7
S0503,3.8,85.2,70.0,4.0,8.0,5.0,67.0
S0504,2.2,84.2,35.4,6.5,6.0,5.0,41.1
S0505,0.5,64.8,71.3,7.4,2.0,4.0,56.0
S0506,4.1,86.4,94.6,6.5,5.0,2.0,83.9
S0507,10.0,61.7,61.7,9.1,8.0,2.0,72.6
S0508,6.1,68.5,71.6,7.0,9.0,6.0,73.5
S0509,4.1,93.6,82.3,8.4,7.0,0.0,73.8
S0510,6.1,88.1,65.7,7.3,8.0,0.0,62.2
S0511,2.1,95.8,59.9,7.9,2.0,3.0,43.4
S0512,4.6,74.7,36.1,7.3,6.0,6.0,35.7
S0513,5.4,78.15,77.0,8.5,6.0,5.0,70.7
S0514,5.0,75.1,66.4,7.1,10.0,5.0,68.7
S0515,6.8,79.2,53.8,7.5,4.0,4.0,61.3
S0516,5.9,78.9,69.8,7.4,4.0,0.0,60.1
S0517,6.5,91.6,59.8,6.7,5.0,2.0,62.6
S0518,3.8,73.7,60.6,7.4,3.0,0.0,53.2
S0519,7.0,82.2,76.5,9.5,7.0,6.0,79.3
S0520,8.5,66.1,49.3,6.7,7.0,6.0,59.6
S0521,3.3,83.4,82.7,7.5,9.0,2.0,72.8
S0522,3.4,78.0,48.4,8.4,10.0,2.0,57.0
S0523,7.9,69.0,58.7,8.3,2.0,2.0,58.6
S0524,4.8,75.2,94.9,7.0,4.0,8.0,78.2
S0525,8.0,75.8,83.8,4.4,4.0,4.0,74.6
S0526,4.3,74.8,69.4,7.6,4.0,6.0,71.2
S0527,8.1,99.3,54.8,4.6,9.0,4.0,60.4
S0528,5.5,76.8,60.6,8.6,3.0,6.0,61.3
S0529,5.7,75.1,69.0,7.2,2.0,4.0,63.0
S0530,8.3,52.8,68.5,8.1,9.0,2.0,64.4
S0531,4.5,67.3,66.7,6.0,10.0,7.0,68.8
S0532,3.3,74.8,67.6,5.3,4.0,6.0,49.4
S0533,4.3,69.8,65.0,7.3,4.0,6.0,55.5
S0534,6.1,94.6,47.8,7.0,6.0,8.0,61.3
S0535,2.1,76.0,60.8,6.5,6.0,2.0,51.2
S0536,6.5,93.5,80.8,7.1,10.0,0.0,76.6
S0537,4.1,78.7,48.8,10.0,5.0,5.0,53.7
S0538,7.5,78.4,65.3,7.9,2.0,2.0,59.8
S0539,0.5,76.9,56.5,8.2,5.0,3.0,45.9
S0540,3.6,78.0,69.6,7.9,7.0,2.0,65.6
S0541,1.8,98.6,62.6,8.6,6.0,3.0,53.5
S0542,3.5,50.2,88.7,6.8,6.0,3.0,71.5
S0543,5.7,54.0,75.1,4.7,10.0,3.0,65.6
S0544,4.8,71.5,49.6,6.8,9.0,6.0,45.5
S0545,4.7,78.2,77.4,7.9,4.0,4.0,64.9
S0546,4.9,86.3,57.2,5.9,5.0,4.0,60.8
S0547,5.6,83.7,59.9,6.8,8.0,1.0,59.8
S0548,3.2,73.4,72.4,6.2,5.0,5.0,54.6
S0549,6.6,90.2,61.1,8.7,5.0,1.0,52.9
S0550,6.5,90.4,80.5,7.8,3.0,2.0,71.7
S0551,6.0,80.2,57.2,7.7,4.0,3.0,62.5
S0552,6.3,89.6,59.3,7.7,8.0,1.0,59.8
S0553,5.8,81.3,58.8,7.0,9.0,3.0,67.1
S0554,9.3,71.3,60.1,7.2,9.0,2.0,67.7
S0555,5.0,86.4,83.4,5.7,4.0,7.0,76.6
S0556,4.6,79.3,76.8,4.6,3.0,7.0,58.2
S0557,3.7,78.0,91.9,7.2,3.0,0.0,76.0
S0558,3.1,95.7,98.0,7.4,5.0,5.0,83.0
S0559,2.7,48.6,53.6,8.3,6.0,5.0,51.9
S0560,3.4,61.0,69.0,8.7,10.0,3.0,61.2
S0561,5.1,63.8,51.5,8.7,10.0,4.0,57.4
S0562,5.9,73.6,57.1,5.9,2.0,7.0,54.3
S0563,5.3,74.9,59.2,6.6,8.0,3.0,56.7
S0564,3.7,59.9,53.2,7.5,4.0,0.0,43.8
S0565,7.0,66.2,53.3,9.8,3.0,3.0,52.5
S0566,6.7,67.7,66.0,8.6,6.0,2.0,60.5
S0567,4.9,100.0,51.0,8.2,2.0,3.0,56.8
S0568,3.9,99.6,79.8,6.6,5.0,2.0,74.0
S0569,6.3,73.1,55.2,6.0,6.0,1.0,46.9
S0570,5.6,73.6,98.0,7.9,4.0,8.0,91.9
S0571,2.3,64.2,61.7,5.8,7.0,1.0,44.5
S0572,5.1,55.1,69.0,6.7,6.0,6.0,56.9
S0573,5.7,76.6,49.9,6.9,9.0,6.0,61.2
S0574,3.4,66.0,91.9,8.8,3.0,5.0,68.2
S0575,5.6,77.0,83.7,6.6,2.0,8.0,79.0
S0576,2.3,58.8,72.2,4.3,6.0,0.0,49.7
S0577,7.9,68.9,49.1,7.6,4.0,2.0,48.5
S0578,7.7,79.8,70.9,6.2,8.0,1.0,70.6
S0579,4.7,82.4,52.3,7.0,2.0,5.0,50.4
S0580,5.9,83.0,88.5,6.9,7.0,5.0,78.6
S0581,0.5,62.2,79.3,6.7,10.0,8.0,73.5
S0582,2.9,88.3,69.3,7.9,2.0,3.0,57.6
S0583,4.6,68.4,33.9,5.3,4.0,2.0,22.4
S0584,3.1,85.6,54.2,6.4,9.0,8.0,56.1
S0585,6.6,77.9,77.6,7.8,6.0,6.0,83.2
S0586,9.2,61.5,85.0,6.3,3.0,6.0,87.1
S0587,2.8,74.2,83.5,5.2,3.0,4.0,67.6
S0588,3.5,82.4,45.7,7.7,8.0,4.0,41.7
S0589,5.7,85.4,72.2,8.2,9.0,3.0,75.2
S0590,8.4,76.3,82.2,7.0,5.0,6.0,84.7
S0591,2.8,96.4,44.8,4.8,6.0,1.0,41.2
S0592,5.7,90.1,67.9,7.8,9.0,8.0,78.4
S0593,8.8,74.9,71.8,5.2,3.0,1.0,64.9
S0594,1.9,87.0,63.8,7.3,3.0,4.0,51.9
S0595,2.6,100.0,42.1,6.0,8.0,2.0,37.8
S0596,4.4,100.0,63.4,5.7,3.0,5.0,47.1
S0597,4.2,63.3,63.4,6.5,8.0,6.0,61.8
S0598,6.8,66.9,65.9,6.8,6.0,8.0,68.0
S0599,5.7,95.8,60.1,6.3,10.0,7.0,70.1
S0600,1.7,65.3,61.8,7.6,2.0,2.0,38.4
